Date,Ticker,Open,High,Low,Close,Volume,Sector
02/01/2024,VNM,82000,85000,81500,84500,1250000,Consumer
02/01/2024,HPG,28000,29500,27800,29000,2100000,Materials
02/01/2024,VIC,88000,92000,87500,91000,850000,Real Estate
02/01/2024,FPT,,68000,64500,67500,1500000,Technology
02/01/2024,MSN,142000,148000,141000,145000,680000,Consumer
03/01/2024,VNM,84500,86000,83000,83500,1180000,Consumer
03/01/2024,HPG,29000,30000,28500,29500,2250000,Materials
03/01/2024,VIC,91000,93000,90000,90500,920000,Real Estate
03/01/2024,FPT,67500,69000,66500,68000,1620000,Technology
03/01/2024,MSN,145000,147000,143500,144000,720000,Consumer
04/01/2024,VNM,83500,85500,82500,85000,1320000,Consumer
04/01/2024,HPG,29500,30500,29000,30000,2400000,Materials
04/01/2024,VIC,90500,94000,90000,92500,950000,Real Estate
04/01/2024,FPT,68000,70000,67500,69500,1680000,Technology
04/01/2024,MSN,144000,146000,142000,143500,750000,Consumer
05/01/2024,VNM,85000,86500,84000,84000,1280000,Consumer
05/01/2024,HPG,30000,31000,29500,29800,2350000,Materials
05/01/2024,VIC,92500,95000,91500,93000,980000,Real Estate
05/01/2024,FPT,69500,71000,68500,70000,1750000,Technology
05/01/2024,MSN,143500,145500,142500,144500,780000,Consumer
08/01/2024,VNM,84000,84500,82000,82500,1150000,Consumer
08/01/2024,HPG,29800,30200,28800,29000,2180000,Materials
08/01/2024,VIC,93000,94000,91000,91500,890000,Real Estate
08/01/2024,FPT,70000,71500,69000,70500,1820000,Technology
08/01/2024,MSN,144500,146500,143000,145500,810000,Consumer
